date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,360000,925924.7,10720.94,565924.7,157.2%,15.03%,86.366
2025-12-31,360000,934222.71,10720.94,574222.71,159.51%,15.18%,87.14
2026-01-01,360000,936935.11,10720.94,576935.11,160.26%,15.22%,87.393
2026-01-02,360000,943796.51,10720.94,583796.51,162.17%,15.34%,88.033
2026-01-05,360000,945769.16,10720.94,585769.16,162.71%,15.36%,88.217
2026-01-06,360000,945222.4,10720.94,585222.4,162.56%,15.34%,88.166
2026-01-07,360000,945040.14,10720.94,585040.14,162.51%,15.33%,88.149
2026-01-08,360000,933472.25,10720.94,573472.25,159.3%,15.11%,87.07
2026-01-09,360000,927908.08,10720.94,567908.08,157.75%,15.0%,86.551
2026-01-12,360000,930824.17,10720.94,570824.17,158.56%,15.04%,86.823
2026-01-13,360000,928905.13,10720.94,568905.13,158.03%,15.0%,86.644
2026-01-14,360000,930255.96,10720.94,570255.96,158.4%,15.02%,86.77
2026-01-16,360000,931199.41,10720.94,571199.41,158.67%,15.02%,86.858
2026-01-19,360000,928990.89,10720.94,568990.89,158.05%,14.96%,86.652
2026-01-20,360000,915471.79,10720.94,555471.79,154.3%,14.71%,85.391
2026-01-21,360000,911440.71,10720.94,551440.71,153.18%,14.63%,85.015
2026-01-22,360000,919267.0,10720.94,559267.0,155.35%,14.76%,85.745
2026-01-23,360000,907034.41,10720.94,547034.41,151.95%,14.53%,84.604
2026-01-27,360000,913188.23,10720.94,553188.23,153.66%,14.62%,85.178
2026-01-28,360000,930148.75,10720.94,570148.75,158.37%,14.92%,86.76
2026-01-29,360000,932786.11,10720.94,572786.11,159.11%,14.96%,87.006
2026-01-30,360000,929827.13,10720.94,569827.13,158.29%,14.9%,86.73
2026-02-02,360000,920339.09,10720.94,560339.09,155.65%,14.71%,85.845
2026-02-03,360000,943775.07,10720.94,583775.07,162.16%,15.13%,88.031
2026-02-04,360000,947559.56,10720.94,587559.56,163.21%,15.19%,88.384
2026-02-05,360000,941941.79,10720.94,581941.79,161.65%,15.08%,87.86
2026-02-06,360000,941191.32,10720.94,581191.32,161.44%,15.06%,87.79
2026-02-09,360000,953488.24,10720.94,593488.24,164.86%,15.26%,88.937
2026-02-10,360000,957251.29,10720.94,597251.29,165.9%,15.32%,89.288
2026-02-11,360000,958066.08,10720.94,598066.08,166.13%,15.33%,89.364
2026-02-12,360000,954635.38,10720.94,594635.38,165.18%,15.26%,89.044
2026-02-13,360000,943271.18,10720.94,583271.18,162.02%,15.06%,87.984
2026-02-16,360000,947452.35,10720.94,587452.35,163.18%,15.11%,88.374
2026-02-17,360000,949317.8,10720.94,589317.8,163.7%,15.14%,88.548
2026-02-18,360000,952748.5,10720.94,592748.5,164.65%,15.19%,88.868
2026-02-19,360000,938178.74,10720.94,578178.74,160.61%,14.93%,87.509
2026-02-20,360000,942638.65,10720.94,582638.65,161.84%,15.0%,87.925
2026-02-23,360000,945544.02,10720.94,585544.02,162.65%,15.03%,88.196
2026-02-24,360000,937321.06,10720.94,577321.06,160.37%,14.88%,87.429
2026-02-25,360000,943314.07,10720.94,583314.07,162.03%,14.98%,87.988
2026-02-26,360000,945115.19,10720.94,585115.19,162.53%,15.0%,88.156
2026-02-27,360000,933686.66,10720.94,573686.66,159.36%,14.8%,87.09
2026-03-02,360000,921893.63,10720.94,561893.63,156.08%,14.57%,85.99
2026-03-04,360000,905769.34,10720.94,545769.34,151.6%,14.26%,84.486
2026-03-05,360000,917841.12,10720.94,557841.12,154.96%,14.47%,85.612
2026-03-06,360000,910100.6,10720.94,550100.6,152.81%,14.33%,84.89
2026-03-09,360000,889805.86,10720.94,529805.86,147.17%,13.94%,82.997
2026-03-10,360000,900365.98,10720.94,540365.98,150.1%,14.13%,83.982
2026-03-11,360000,886482.37,10720.94,526482.37,146.25%,13.87%,82.687
2026-03-12,360000,882537.06,10720.94,522537.06,145.15%,13.79%,82.319
2026-03-13,360000,858865.22,10720.94,498865.22,138.57%,13.34%,80.111
2026-03-16,360000,862413.86,10720.94,502413.86,139.56%,13.39%,80.442
2026-03-17,360000,871226.47,10720.94,511226.47,142.01%,13.55%,81.264
2026-03-18,360000,880971.8,10720.94,520971.8,144.71%,13.72%,82.173
2026-03-19,360000,850695.87,10720.94,490695.87,136.3%,13.15%,79.349
2026-03-20,360000,851607.15,10720.94,491607.15,136.56%,13.16%,79.434
2026-03-25,360000,858039.71,10720.94,498039.71,138.34%,13.25%,80.034
2026-03-27,360000,839556.81,10720.94,479556.81,133.21%,12.89%,78.31
2026-03-30,360000,821534.91,10720.94,461534.91,128.2%,12.53%,76.629
2026-03-31,360000,821513.47,10720.94,461513.47,128.2%,12.52%,76.627
2026-04-01,360000,839717.63,10720.94,479717.63,133.25%,12.87%,78.325
2026-04-02,360000,838388.23,10720.94,478388.23,132.89%,12.84%,78.201
2026-04-06,360000,849269.98,10720.94,489269.98,135.91%,13.02%,79.216
2026-04-07,360000,852711.4,10720.94,492711.4,136.86%,13.08%,79.537
2026-04-08,360000,888036.9,10720.94,528036.9,146.68%,13.73%,82.832
