Date,Units,NAV,Amount
08-11-2023,108.4,184.49,20000.0
11-12-2023,100.48,199.04,20000.0
08-01-2024,96.36,207.54,20000.0
07-02-2024,86.761,230.51,20000.0
13-03-2024,89.996,222.22,20000.0
22-04-2024,4.125,242.43,1000.0
22-04-2024,4.125,242.43,1000.0
22-04-2024,4.125,242.43,1000.0
22-04-2024,4.125,242.43,1000.0
22-04-2024,4.125,242.43,1000.0
22-04-2024,4.125,242.43,1000.0
23-04-2024,4.088,244.59,1000.0
23-04-2024,4.088,244.59,1000.0
23-04-2024,4.088,244.59,1000.0
23-04-2024,4.088,244.59,1000.0
04-06-2024,4.063,246.11,1000.0
06-06-2024,3.837,260.59,1000.0
11-06-2024,3.746,266.91,1000.0
11-06-2024,3.746,266.91,1000.0
12-06-2024,3.702,270.14,1000.0
14-06-2024,3.666,272.8,1000.0
19-06-2024,3.689,271.09,1000.0
19-06-2024,3.689,271.09,1000.0
20-06-2024,3.662,273.07,1000.0
24-06-2024,3.706,269.84,1000.0
04-07-2024,3.613,276.76,1000.0
08-07-2024,3.601,277.7,1000.0
08-07-2024,3.601,277.7,1000.0
10-07-2024,3.6,277.75,1000.0
12-07-2024,3.593,278.28,1000.0
15-07-2024,3.557,281.11,1000.0
18-07-2024,3.595,278.16,1000.0
18-07-2024,3.595,278.16,1000.0
22-07-2024,3.66,273.18,1000.0
22-07-2024,3.66,273.18,1000.0
05-08-2024,3.766,265.5,1000.0
06-08-2024,3.797,263.32,1000.0
08-08-2024,3.709,269.63,1000.0
13-08-2024,3.75,266.64,1000.0
13-08-2024,3.75,266.64,1000.0
14-08-2024,3.775,264.92,1000.0
16-08-2024,3.73,268.11,1000.0
19-08-2024,3.693,270.75,1000.0
20-08-2024,3.674,272.18,1000.0
22-08-2024,3.647,274.19,1000.0
04-09-2024,3.685,271.39,1000.0
06-09-2024,3.71,269.51,1000.0
09-09-2024,3.721,268.76,1000.0
10-09-2024,3.696,270.53,1000.0
12-09-2024,3.683,271.53,1000.0
16-09-2024,3.657,273.44,1000.0
16-09-2024,3.657,273.44,1000.0
18-09-2024,3.692,270.86,1000.0
20-09-2024,3.697,270.51,1000.0
23-09-2024,3.676,272.04,1000.0
04-10-2024,3.731,268.03,1000.0
07-10-2024,3.816,262.03,1000.0
08-10-2024,3.75,266.62,1000.0
10-10-2024,3.766,265.5,1000.0
14-10-2024,3.746,266.95,1000.0
14-10-2024,3.746,266.95,1000.0
16-10-2024,3.766,265.54,1000.0
18-10-2024,3.798,263.28,1000.0
22-10-2024,3.921,255.0,1000.0
22-10-2024,3.921,255.0,1000.0
11-11-2024,4.032,248.01,1000.0
12-11-2024,4.083,244.9,1000.0
19-11-2024,4.166,240.01,1000.0
21-11-2024,4.225,236.69,1000.0
22-11-2024,4.156,240.63,1000.0
04-12-2024,39.583,252.62,10000.0
06-01-2025,40.797,245.1,10000.0
30-01-2025,42.729,234.02,10000.0
03-03-2025,47.919,208.67,10000.0
02-04-2025,43.577,229.47,10000.0
02-05-2025,42.592,234.77,10000.0
02-06-2025,41.153,242.98,10000.0
18-07-2025,40.639,246.06,10000.0
01-08-2025,42.455,235.53,10000.0
